,Country Name,Confirmed,bevestigd per 1M inwoners
3166,Canada,486,13.114274223683537
3168,China,990,0.7108341171655669
3169,Netherlands,28,1.6249766337065303
3170,Australia,53,2.1206473063838005
3171,China,566,0.4063960710259706
3172,United Kingdom,15,0.22560125780822873
3173,Canada,725,19.563474922161657
3174,United Kingdom,8,0.12032067083105533
3175,United Kingdom,66,0.9926455343562064
3176,China,578,0.415012242143129
3177,Netherlands,6,0.3482092786513994
3178,Canada,0,0.0
3180,Denmark,140,24.14856473005527
3181,France,28,0.4179900280716131
3182,France,30,0.4478464586481569
3183,China,328,0.23550867720232924
3184,China,136,0.09764993932779505
3185,United Kingdom,35,0.5264029348858671
3186,Canada,13,0.3507933434318642
3188,Denmark,6,1.03493848843094
3189,France,73,1.0897597160438486
3191,China,1448,1.039684648137112
3192,China,254,0.18237562197985252
3193,China,146,0.10483008192542703
3194,China,168,0.12062639564021742
3195,China,319,0.22904654886446044
3196,China,484,0.34751890172538824
3197,China,1275,0.9154681811980786
3198,China,453,0.3252604596727291
3199,China,67801,48.68208482620465
3200,China,1018,0.7309385164389365
3201,China,89,0.0639032691189247
3202,United Kingdom,25,0.3760020963470479
3203,China,640,0.4595291262484473
3204,China,936,0.6720613471383542
3205,China,95,0.06821135467750389
3206,China,128,0.09190582524968946
3207,China,31,0.022258442052659165
3208,Canada,36,0.9714277202728546
3209,France,66,0.9852622090259452
3210,France,36,0.5374157503777883
3211,United Kingdom,5,0.07520041926940958
3212,Canada,33,0.8904754102501168
3213,France,14,0.20899501403580656
3214,Australia,1219,48.774888046827414
3215,Canada,82,2.2126964739548356
3216,China,75,0.053851069482239916
3218,Australia,12,0.48014655993595484
3219,Canada,1,0.02698410334091263
3220,Canada,73,1.9698395438866219
3221,Canada,858,23.152360666503036
3222,Canada,5,0.13492051670456315
3224,China,18,0.01292425667573758
3225,Canada,1632,44.03805665236941
3226,Australia,493,19.726021170702143
3227,Canada,0,0.0
3229,France,135,2.0153090639167064
3230,France,3,0.044784645864815696
3231,Canada,95,2.5634898173867
3232,China,253,0.18165760772008932
3233,China,771,0.5535889942774264
3234,China,451,0.3238244311532027
3235,China,135,0.09693192506803185
3236,China,547,0.3927538000904698
3237,Netherlands,3,0.1741046393256997
3238,Australia,235,9.402870132079116
3239,France,11,0.16421036817099088
3240,Australia,47,1.880574026415823
3241,China,151,0.10842015322424303
3242,China,1,0.0007180142597631989
